Asset Tag,Name,Email,Checkout Date,Checkin Date
ICC-2065556,rtenant0,rtenant0@example.org,2024-01-15,2024-06-10
ICC-2065556,klefeuvre1,klefeuvre1@example.org,2024-07-01,2024-11-20
NNH-3656031,keland2,keland2@example.org,2024-02-05,2024-08-14
BOL-0305383,skinneally3,skinneally3@example.org,2024-03-22,
YVN-3440973,rtenant0,rtenant0@example.org,2024-04-10,2024-09-30
YOO-5936907,klefeuvre1,klefeuvre1@example.org,2024-05-18,
EJS-7488052,keland2,keland2@example.org,2024-06-25,2024-10-05
WBH-2841795,skinneally3,skinneally3@example.org,2023-11-08,2024-01-15
WBH-2841795,rtenant0,rtenant0@example.org,2024-02-01,2024-07-22
WBH-2841795,klefeuvre1,klefeuvre1@example.org,2024-08-10,2099-12-31
