Full Name,Email,Username,Item name,serial number,Category,manufacturer,purchase date,purchase cost,purchase order,order number,Licensed To Name,Licensed to Email,expiration date,maintained,reassignable,seats,company,supplier,notes
Bevon Ibarra,jgoodsell0@example.org,jgoodsell0,Phenylephrine HCl,4c2713a1-5b73-4ecb-b2e9-62bf0ff57165,Reverse-engineered incremental migration,Mayer-Bergnaum,11/24/08,$12.58 ,34197,749317252-8,Jelene Goodsell,jgoodsell0@example.org,,FALSE,yes,56,Gislason-Hagenes,Treutel Inc,Sample import note
Brant Turley,estrowan1@example.org,estrowan1,Mirtazapine,9dda5116-ec27-4a64-a566-1cb06513460f,Grass-roots system-worthy focus group,,12/27/81,$41.70 ,,420038879-0,Ericka Strowan,estrowan1@example.org,,FALSE,no,55,,,Sample import note
Gilligan O'Kinneally,kgillet2@example.org,kgillet2,Arsenicum album,e93c361f-1cf3-4fc3-bfeb-f3dee49452fc,Right-sized 4th generation instruction set,Schmeler Group,4/13/89,$66.07 ,64491,398520367-9,Kevon Gillet,kgillet2@example.org,,TRUE,yes,23,Hodkiewicz LLC,Lakin-Sauer,Sample import note
Cathy Vanini,mferreo3@example.org,mferreo3,Gabapentin,e04d59af-7a42-468d-b11c-83b4c1fa2ee3,Pre-emptive solution-oriented adapter,Mertz and Sons,11/18/81,$15.74 ,20450,272222159-4,Mario Ferreo,mferreo3@example.org,,TRUE,no,48,Herman and Sons,"Schuppe, Johnson and Heller",Sample import note
Lorene Lambrecht,aimm4@example.org,aimm4,Doxazosin Mesylate,89da2922-3639-4654-8c3e-58a8b95db32c,Monitored intermediate service-desk,Mayert-Homenick,2/23/98,$78.19 ,69356,027802149-2,Alaster Imm,aimm4@example.org,,TRUE,no,70,Hagenes Inc,"Wehner, Jaskolski and Champlin",Sample import note
Willey Mattityahou,rjanaszkiewicz5@example.org,rjanaszkiewicz5,Loperamide Hydrochloride,5180a72a-9978-41e9-89cb-f5b6913a7d89,Focused secondary product,Ortiz Inc,12/15/08,$15.75 ,69285,953084568-5,Reggie Janaszkiewicz,rjanaszkiewicz5@example.org,,FALSE,FALSE,16,Lockman and Sons,Braun LLC,Sample import note
Mignonne Kirkup,jlepiscopio6@example.org,jlepiscopio6,Fluorescein Sodium,9001ff29-fbda-4095-944b-7a371179e5a6,Triple-buffered client-server conglomeration,,12/10/07,$85.82 ,,514100350-7,Jereme L'Episcopio,jlepiscopio6@example.org,,FALSE,TRUE,7,,,Sample import note
Cate McGavin,aprobbings7@example.org,aprobbings7,OCTINOXATE and TITANIUM DIOXIDE,1b7fd855-55d9-4034-9899-42a9095d3cde,Robust background circuit,Runte-Hartmann,1/29/98,$64.32 ,41152,997334813-3,Alaric Probbings,aprobbings7@example.org,,FALSE,TRUE,78,Leffler Group,"Grady, Crona and Luettgen",Sample import note
Bradan Sipson,lalliban8@example.org,lalliban8,Borax,d420f5cf-36bb-43e7-9c1d-0e7703e492fd,Public-key dedicated service-desk,Botsford-Boyle,5/30/00,$25.15 ,93671,462155625-8,Lukas Alliban,lalliban8@example.org,,TRUE,FALSE,30,Brakus-Gaylord,Auer Group,Sample import note
Gare Paddison,cogan9@example.org,cogan9,DOCUSATE SODIUM,3025458b-920e-4c05-ad8b-f42e047f2dde,Assimilated optimal circuit,Tremblay LLC,2/18/82,$82.42 ,28468,295163448-X,Cassi Ogan,cogan9@example.org,,TRUE,yes,92,"McDermott, DuBuque and Rau",Glover-Emard,Sample import note
Brennan Danielski,stomasicchioa@example.org,stomasicchioa,Rosuvastatin calcium,b4ee3922-378c-4131-874f-8ebc5d280bc5,Object-based content-based secured line,"Ledner, Torphy and Schmitt",2/26/86,$17.12 ,90269,401008001-9,Steffi Tomasicchio,stomasicchioa@example.org,,FALSE,sometimes,49,"Mueller, Ernser and Smitham","Lemke, O'Kon and Hills",Sample import note
Melody Harbidge,bgoomsb@example.org,bgoomsb,"fluocinolone acetonide, hydroquinone, and tretinoin",01ec85ac-5473-4ee0-a988-0864dfd6722d,Vision-oriented bifurcated system engine,"Farrell, Treutel and Haag",1/14/85,$56.03 ,83323,433717940-2,Becki Gooms,bgoomsb@example.org,,FALSE,TRUE,32,Sawayn-Larson,"Nolan, O'Keefe and Wiza",Sample import note
Winifred Clough,tchiversc@example.org,tchiversc,"Avobenzone, Octocrylene, Phenylbenzimidazole Sulfonic Acid",8bbc431f-b571-4912-9cc6-64c08512f1f2,Cloned 3rd generation function,Harvey-Hickle,11/5/16,$45.82 ,76764,733010158-3,Tan Chivers,tchiversc@example.org,,TRUE,NO,73,O'Connell-Klocko,Nikolaus-McGlynn,Sample import note
Hermine Vischi,tdreusd@example.org,tdreusd,BENZALKONIUM CHLORIDE,97e50f8b-270f-4d67-b191-1e015096d472,Compatible encompassing matrix,Bernier and Sons,4/14/14,$97.46 ,78245,392918422-2,Teddi Dreus,tdreusd@example.org,,FALSE,no,92,"Renner, McCullough and Walsh","Collier, Schuster and Block",Sample import note
Georgina O'Cullinane,gsupplee@example.org,gsupplee,PHENYLEPHRINE HYDROCHLORIDE,e1d8e28c-d543-42db-a7b6-cb1128a8effd,Synergistic optimal orchestration,Crist Inc,5/13/87,$15.81 ,59115,712672732-1,Grace Supple,gsupplee@example.org,,TRUE,TRUE,39,Weber LLC,Schuppe-Runolfsdottir,Sample import note
Malory Charlotte,stemplarf@example.org,stemplarf,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",23f475d3-74a5-43eb-8cd9-345f6ddfb423,Customer-focused optimizing product,Ruecker-Zemlak,9/14/81,$44.86 ,21142,438762010-2,Sigfried Templar,stemplarf@example.org,,FALSE,NO,53,Graham-King,Collier LLC,Sample import note
Nat Overthrow,jkiendlg@example.org,jkiendlg,Isopropyl Alcohol,4f40fa12-f799-4029-8a30-71aca4fab9be,Extended 3rd generation firmware,,12/14/14,$52.86 ,,339064626-4,Jonathon Kiendl,jkiendlg@example.org,,FALSE,TRUE,29,,,Sample import note
